Number,Date,Month,Site,SiteMonth,Treatment,Flower,Flower_status,Method,Sex,Genus,Species,GenusSpecies,Family 
395,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,M,Hylaeus,modestus,Hylaeus modestus,Colletidae
396,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
397,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,M,Hylaeus,modestus,Hylaeus modestus,Colletidae
398,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,F,Hylaeus,modestus,Hylaeus modestus,Colletidae
399,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,F,Hylaeus,annulatus,Hylaeus annulatus,Colletidae
400,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,M,Hylaeus,modestus,Hylaeus modestus,Colletidae
401,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,F,Osmia,bruneri,Osmia bruneri,Megachilidae
402,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,M,Megachile,pugnata pugnata,Megachile pugnata pugnata,Megachilidae
403,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,F,Colletes,sp. D,Colletes sp. D,Colletidae
404,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,M,Megachile,pugnata pugnata,Megachile pugnata pugnata,Megachilidae
405,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,M,Coelioxys,alternata,Coelioxys alternata,Megachilidae
406,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,F,Hylaeus,modestus,Hylaeus modestus,Colletidae
407,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,F,Megachile,pugnata pugnata,Megachile pugnata pugnata,Megachilidae
408,6/4/2020,June,C19,June-C19,Control,,,Blue vane,F,Bombus,centralis,Bombus centralis,Apidae
409,7/16/2020,July,T7,July-T7,Thinned,Chamaenerion angustifolium,Native,Net,M,Megachile,brevis,Megachile brevis,Megachilidae
410,7/14/2020,July,T6,July-T6,Thinned,Lupinus argenteus,Native,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
411,7/14/2020,July,T6,July-T6,Thinned,Solidago missouriensis,Native,Net,F,Bombus,insularis,Bombus insularis,Apidae
412,7/14/2020,July,T6,July-T6,Thinned,Solidago missouriensis,Native,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
413,8/4/2020,August,T6,August-T6,Thinned,Solidago missouriensis,Native,Net,F,Sphecodes,spp.,Sphecodes spp.,Halictidae
414,7/16/2020,July,T6,July-T6,Thinned,Solidago missouriensis,Native,Net,M,Sphecodes,spp.,Sphecodes spp.,Halictidae
415,7/16/2020,July,T6,July-T6,Thinned,Solidago missouriensis,Native,Net,M,Colletes,sp. B,Colletes sp. B,Colletidae
416,7/16/2020,July,T6,July-T6,Thinned,Solidago missouriensis,Native,Net,F,Bombus,insularis,Bombus insularis,Apidae
417,7/16/2020,July,T6,July-T6,Thinned,Solidago missouriensis,Native,Net,M,Hylaeus,modestus,Hylaeus modestus,Colletidae
418,7/16/2020,July,T6,July-T6,Thinned,Solidago missouriensis,Native,Net,M,Hylaeus,modestus,Hylaeus modestus,Colletidae
419,7/16/2020,July,T6,July-T6,Thinned,Solidago missouriensis,Native,Net,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
420,7/15/2020,July,T1,July-T1,Thinned,Geranium caespitosum,Native,Net,F,Bombus,centralis,Bombus centralis,Apidae
421,7/17/2020,July,T1,July-T1,Thinned,Geranium caespitosum,Native,Net,M,Bombus,bifarius,Bombus bifarius,Apidae
422,7/17/2020,July,T1,July-T1,Thinned,Geranium caespitosum,Native,Net,F,Bombus,centralis,Bombus centralis,Apidae
423,7/17/2020,July,T1,July-T1,Thinned,Phacelia hastata,Native,Net,F,Bombus,centralis,Bombus centralis,Apidae
424,7/17/2020,July,T1,July-T1,Thinned,Phacelia hastata,Native,Net,F,Bombus,centralis,Bombus centralis,Apidae
425,7/17/2020,July,T1,July-T1,Thinned,Phacelia hastata,Native,Net,M,Bombus,centralis,Bombus centralis,Apidae
426,7/17/2020,July,T2,July-T2,Thinned,Eriogonum umbellatum,Native,Net,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
427,7/17/2020,July,T2,July-T2,Thinned,Heterotheca villosa,Native,Net,M,Megachile,latimanus,Megachile latimanus,Megachilidae
428,7/17/2020,July,T2,July-T2,Thinned,Eriogonum umbellatum,Native,Net,M,Hylaeus,modestus,Hylaeus modestus,Colletidae
429,7/17/2020,July,T2,July-T2,Thinned,Eriogonum umbellatum,Native,Net,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
430,7/17/2020,July,T2,July-T2,Thinned,Eriogonum umbellatum,Native,Net,M,Andrena,sp. E,Andrena sp. E,Andrenidae
431,7/17/2020,July,T2,July-T2,Thinned,Geranium caespitosum,Native,Net,M,Colletes,sp. C,Colletes sp. C,Colletidae
432,7/17/2020,July,T2,July-T2,Thinned,Sedum lanceolatum,Native,Net,M,Pseudopanurgus,sp. A,Pseudopanurgus sp. A,Andrenidae
433,7/17/2020,July,T2,July-T2,Thinned,Sedum lanceolatum,Native,Net,F,Osmia,juxta,Osmia juxta,Megachilidae
434,7/17/2020,July,T2,July-T2,Thinned,Heterotheca villosa,Native,Net,M,Dianthidium,parvum parvum,Dianthidium parvum parvum,Megachilidae
435,7/17/2020,July,T2,July-T2,Thinned,Phacelia hastata,Native,Net,F,Bombus,centralis,Bombus centralis,Apidae
436,7/17/2020,July,T2,July-T2,Thinned,Phacelia hastata,Native,Net,F,Atoposmia,copelandica,Atoposmia copelandica,Megachilidae
437,7/15/2020,July,T4,July-T4,Thinned,Sedum lanceolatum,Native,Net,F,Osmia,pusillia,Osmia pusillia,Megachilidae
438,7/15/2020,July,T4,July-T4,Thinned,Sedum lanceolatum,Native,Net,F,Osmia,juxta,Osmia juxta,Megachilidae
439,7/15/2020,July,T4,July-T4,Thinned,Rubus idaeus,Native,Net,F,Osmia,juxta,Osmia juxta,Megachilidae
440,7/15/2020,July,T4,July-T4,Thinned,Sedum lanceolatum,Native,Net,F,Pseudopanurgus,spp.,Pseudopanurgus spp.,Andrenidae
441,7/17/2020,July,T4,July-T4,Thinned,Solidago missouriensis,Native,Net,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
442,7/17/2020,July,T4,July-T4,Thinned,Frasera speciosa,Native,Net,F,Bombus,centralis,Bombus centralis,Apidae
443,7/17/2020,July,T4,July-T4,Thinned,Frasera speciosa,Native,Net,M,Megachile,brevis,Megachile brevis,Megachilidae
444,7/17/2020,July,T4,July-T4,Thinned,Frasera speciosa,Native,Net,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
445,7/17/2020,July,T4,July-T4,Thinned,Solidago missouriensis,Native,Net,F,Hylaeus,verticalis,Hylaeus verticalis,Colletidae
446,7/17/2020,July,T4,July-T4,Thinned,Frasera speciosa,Native,Net,F,Hoplitis,albifrons,Hoplitis albifrons,Megachilidae
447,7/17/2020,July,T4,July-T4,Thinned,Solidago missouriensis,Native,Net,M,Heriades,carinatus,Heriades carinatus,Megachilidae
448,7/17/2020,July,T3,July-T3,Thinned,Sedum lanceolatum,Native,Net,F,Hylaeus,modestus,Hylaeus modestus,Colletidae
449,7/17/2020,July,T3,July-T3,Thinned,Packera fendleri,Native,Net,M,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
450,7/20/2020,July,T15,July-T15,Thinned,Geranium caespitosum,Native,Net,F,Halictus,confusus,Halictus confusus,Halictidae
451,7/20/2020,July,T15,July-T15,Thinned,Achillea millefolium,Native,Net,M,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
452,7/20/2020,July,T12,July-T12,Thinned,Achillea millefolium,Native,Net,M,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
453,7/20/2020,July,T13,July-T13,Thinned,Heterotheca villosa,Native,Net,F,Dianthidium,heterulkei fraternum,Dianthidium heterulkei fraternum,Megachilidae
454,7/20/2020,July,T13,July-T13,Thinned,Heterotheca villosa,Native,Net,F,Ashmeadiella,bucconis,Ashmeadiella bucconis,Megachilidae
455,7/20/2020,July,T13,July-T13,Thinned,Heterotheca villosa,Native,Net,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
456,7/22/2020,July,T13,July-T13,Thinned,Heterotheca villosa,Native,Net,M,Bombus,bifarius,Bombus bifarius,Apidae
457,7/22/2020,July,T13,July-T13,Thinned,Solidago missouriensis,Native,Net,M,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
458,7/22/2020,July,T13,July-T13,Thinned,Liatris punctata,Native,Net,F,Bombus,huntii,Bombus huntii,Apidae
459,7/22/2020,July,T13,July-T13,Thinned,Heterotheca villosa,Native,Net,F,Heriades,carinatus,Heriades carinatus,Megachilidae
460,6/18/2020,June,C26,June-C26,Control,,,Blue vane,F,Anthophora,montana,Anthophora montana,Apidae
461,7/22/2020,July,T13,July-T13,Thinned,Ground,,Net,M,Dianthidium,parvum parvum,Dianthidium parvum parvum,Megachilidae
462,7/20/2020,July,T11,July-T11,Thinned,Campanula rotundifolia,Native,Net,F,Bombus,rufocinctus,Bombus rufocinctus,Apidae
463,7/20/2020,July,T11,July-T11,Thinned,Lupinus argenteus,Native,Net,F,Bombus,huntii,Bombus huntii,Apidae
464,7/20/2020,July,T11,July-T11,Thinned,Lupinus argenteus,Native,Net,,Apis,mellifera,Apis mellifera,Apidae
465,7/20/2020,July,T11,July-T11,Thinned,Cirsium arvense,Introduced,Net,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
466,7/20/2020,July,T11,July-T11,Thinned,Cirsium arvense,Introduced,Net,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
467,7/20/2020,July,T11,July-T11,Thinned,Cirsium arvense,Introduced,Net,M,Bombus,bifarius,Bombus bifarius,Apidae
468,7/20/2020,July,T11,July-T11,Thinned,Cirsium arvense,Introduced,Net,,Apis,mellifera,Apis mellifera,Apidae
469,7/20/2020,July,T11,July-T11,Thinned,Cirsium arvense,Introduced,Net,,Apis,mellifera,Apis mellifera,Apidae
470,7/20/2020,July,T11,July-T11,Thinned,Cirsium arvense,Introduced,Net,,Apis,mellifera,Apis mellifera,Apidae
471,7/20/2020,July,T11,July-T11,Thinned,Heterotheca villosa,Native,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
472,7/20/2020,July,T11,July-T11,Thinned,Heterotheca villosa,Native,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
473,7/20/2020,July,T11,July-T11,Thinned,Campanula rotundifolia,Native,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
474,7/22/2020,July,T11,July-T11,Thinned,Cirsium arvense,Introduced,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
475,7/22/2020,July,T11,July-T11,Thinned,Cirsium arvense,Introduced,Net,,Apis,mellifera,Apis mellifera,Apidae
476,7/22/2020,July,T11,July-T11,Thinned,Cirsium arvense,Introduced,Net,,Apis,mellifera,Apis mellifera,Apidae
477,7/22/2020,July,T11,July-T11,Thinned,Cirsium arvense,Introduced,Net,,Apis,mellifera,Apis mellifera,Apidae
478,7/22/2020,July,T11,July-T11,Thinned,Heterotheca villosa,Native,Net,F,Bombus,huntii,Bombus huntii,Apidae
479,7/22/2020,July,T11,July-T11,Thinned,Heterotheca villosa,Native,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
480,7/22/2020,July,T11,July-T11,Thinned,Campanula rotundifolia,Native,Net,F,Svastra,obliqua,Svastra obliqua,Apidae
481,7/22/2020,July,T11,July-T11,Thinned,Campanula rotundifolia,Native,Net,,Apis,mellifera,Apis mellifera,Apidae
482,7/22/2020,July,T11,July-T11,Thinned,Ground,,Net,F,Anthidium,tenuiflorae ,Anthidium tenuiflorae ,Megachilidae
483,7/22/2020,July,T8,July-T8,Thinned,Achillea millefolium,Native,Net,M,Bombus,bifarius,Bombus bifarius,Apidae
484,7/22/2020,July,T8,July-T8,Thinned,Achillea millefolium,Native,Net,M,Bombus,bifarius,Bombus bifarius,Apidae
485,8/6/2020,August,C21,August-C21,Control,,,Blue vane,F,Bombus,californicus,Bombus californicus,Apidae
486,7/22/2020,July,T8,July-T8,Thinned,Phacelia hastata,Native,Net,F,Bombus,centralis,Bombus centralis,Apidae
487,7/22/2020,July,T8,July-T8,Thinned,Phacelia hastata,Native,Net,,Epeolus,interruptus,Epeolus interruptus,Apidae
488,7/20/2020,July,T10,July-T10,Thinned,Erysimum capitatum,Native,Net,M,Bombus,rufocinctus,Bombus rufocinctus,Apidae
489,7/20/2020,July,T10,July-T10,Thinned,Achillea millefolium,Native,Net,M,Sphecodes,spp.,Sphecodes spp.,Halictidae
490,7/22/2020,July,T10,July-T10,Thinned,Achillea millefolium,Native,Net,F,Sphecodes,spp.,Sphecodes spp.,Halictidae
491,7/22/2020,July,T10,July-T10,Thinned,Achillea millefolium,Native,Net,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
492,7/20/2020,July,T14,July-T14,Thinned,Geranium caespitosum,Native,Net,M,Colletes,sp. B,Colletes sp. B,Colletidae
493,7/22/2020,July,T14,July-T14,Thinned,Cirsium arvense,Introduced,Net,M,Bombus,rufocinctus,Bombus rufocinctus,Apidae
494,7/22/2020,July,T14,July-T14,Thinned,Cirsium arvense,Introduced,Net,M,Bombus,rufocinctus,Bombus rufocinctus,Apidae
495,7/22/2020,July,T14,July-T14,Thinned,Carduus acanthoides,Introduced,Net,F,Bombus,centralis,Bombus centralis,Apidae
496,7/22/2020,July,T14,July-T14,Thinned,Carduus acanthoides,Introduced,Net,M,Bombus,rufocinctus,Bombus rufocinctus,Apidae
497,7/21/2020,July,C27,July-C27,Control,Phacelia hastata,Native,Net,F,Hoplitis,producta,Hoplitis producta,Megachilidae
498,8/5/2020,August,T1,August-T1,Thinned,,,Blue vane,F,Melissodes,communis,Melissodes communis,Apidae
499,7/21/2020,July,C27,July-C27,Control,Phacelia hastata,Native,Net,M,Bombus,centralis,Bombus centralis,Apidae
500,7/21/2020,July,C27,July-C27,Control,Phacelia hastata,Native,Net,F,Bombus,centralis,Bombus centralis,Apidae
501,7/21/2020,July,C27,July-C27,Control,Gaillardia aristata,Native,Net,M,Anthidium,clypeodentatum ,Anthidium clypeodentatum ,Megachilidae
502,7/21/2020,July,C27,July-C27,Control,Cirsium undulatum,Native,Net,F,Svastra,obliqua,Svastra obliqua,Apidae
503,7/16/2020,July,T7,July-T7,Thinned,,,Pan trap,F,Andrena,sp. C,Andrena sp. C,Andrenidae
504,8/5/2020,August,T1,August-T1,Thinned,,,Blue vane,M,Melissodes,communis,Melissodes communis,Apidae
505,7/16/2020,July,T7,July-T7,Thinned,,,Pan trap,F,Hylaeus,modestus,Hylaeus modestus,Colletidae
506,7/16/2020,July,T7,July-T7,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
507,7/16/2020,July,T7,July-T7,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
508,7/16/2020,July,T7,July-T7,Thinned,,,Pan trap,F,Hylaeus,modestus,Hylaeus modestus,Colletidae
509,7/16/2020,July,T7,July-T7,Thinned,,,Pan trap,F,Hylaeus,modestus,Hylaeus modestus,Colletidae
510,7/16/2020,July,T6,July-T6,Thinned,,,Pan trap,F,Bombus,melanopygus,Bombus melanopygus,Apidae
511,7/16/2020,July,T6,July-T6,Thinned,,,Pan trap,F,Osmia,juxta,Osmia juxta,Megachilidae
512,7/16/2020,July,T6,July-T6,Thinned,,,Pan trap,F,Andrena,amphibola,Andrena amphibola,Andrenidae
513,7/16/2020,July,T6,July-T6,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
514,7/16/2020,July,T6,July-T6,Thinned,,,Pan trap,M,Agapostemon,texanus angelicus,Agapostemon texanus angelicus,Halictidae
515,7/16/2020,July,T6,July-T6,Thinned,,,Pan trap,M,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
516,7/16/2020,July,T6,July-T6,Thinned,,,Pan trap,F,Hylaeus,verticalis,Hylaeus verticalis,Colletidae
517,7/16/2020,July,C22,July-C22,Control,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
518,7/16/2020,July,C22,July-C22,Control,,,Pan trap,M,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
519,7/16/2020,July,C22,July-C22,Control,,,Pan trap,F,Hylaeus,verticalis,Hylaeus verticalis,Colletidae
520,7/16/2020,July,C22,July-C22,Control,,,Pan trap,M,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
521,7/16/2020,July,C22,July-C22,Control,,,Pan trap,M,Sphecodes,spp.,Sphecodes spp.,Halictidae
522,7/16/2020,July,C22,July-C22,Control,,,Pan trap,F,Hylaeus,modestus,Hylaeus modestus,Colletidae
523,7/16/2020,July,C22,July-C22,Control,,,Pan trap,F,Hylaeus,modestus,Hylaeus modestus,Colletidae
524,7/16/2020,July,C22,July-C22,Control,,,Pan trap,M,Sphecodes,spp.,Sphecodes spp.,Halictidae
525,7/16/2020,July,T5,July-T5,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
526,7/16/2020,July,T5,July-T5,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
527,7/16/2020,July,T5,July-T5,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
528,7/17/2020,July,C19,July-C19,Control,,,Pan trap,F,Hylaeus,modestus,Hylaeus modestus,Colletidae
529,7/17/2020,July,T3,July-T3,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
530,7/17/2020,July,T3,July-T3,Thinned,,,Pan trap,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
531,7/17/2020,July,T1,July-T1,Thinned,,,Pan trap,F,Osmia,grindeliae,Osmia grindeliae,Megachilidae
532,7/17/2020,July,T1,July-T1,Thinned,,,Pan trap,M,Megachile,brevis,Megachile brevis,Megachilidae
534,7/17/2020,July,T1,July-T1,Thinned,,,Pan trap,M,Heriades,carinatus,Heriades carinatus,Megachilidae
535,7/17/2020,July,T1,July-T1,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
536,7/17/2020,July,C16,July-C16,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
537,7/17/2020,July,C16,July-C16,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
538,7/17/2020,July,C16,July-C16,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
539,7/17/2020,July,C16,July-C16,Control,,,Pan trap,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
540,7/17/2020,July,T2,July-T2,Thinned,,,Pan trap,M,Lithurgus,apicalis,Lithurgus apicalis,Megachilidae
541,7/17/2020,July,T2,July-T2,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
542,8/5/2020,August,C18,August-C18,Control,,,Blue vane,F,Bombus,centralis,Bombus centralis,Apidae
543,7/17/2020,July,T2,July-T2,Thinned,,,Pan trap,M,Hylaeus,modestus,Hylaeus modestus,Colletidae
544,7/17/2020,July,T2,July-T2,Thinned,,,Pan trap,M,Hylaeus,modestus,Hylaeus modestus,Colletidae
545,7/17/2020,July,T2,July-T2,Thinned,,,Pan trap,M,Hylaeus,modestus,Hylaeus modestus,Colletidae
546,7/17/2020,July,T2,July-T2,Thinned,,,Pan trap,M,Hylaeus,modestus,Hylaeus modestus,Colletidae
547,7/16/2020,July,C21,July-C21,Control,,,Pan trap,F,Sphecodes,spp.,Sphecodes spp.,Halictidae
548,8/5/2020,August,T1,August-T1,Thinned,,,Blue vane,F,Bombus,appositus,Bombus appositus,Apidae
549,7/17/2020,July,T4,July-T4,Thinned,,,Pan trap,F,Hylaeus,modestus,Hylaeus modestus,Colletidae
550,7/23/2020,July,C24,July-C24,Control,,,Pan trap,M,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
551,7/23/2020,July,C24,July-C24,Control,,,Pan trap,M,Sphecodes,spp.,Sphecodes spp.,Halictidae
552,7/23/2020,July,C26,July-C26,Control,,,Pan trap,M,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
554,7/23/2020,July,C26,July-C26,Control,,,Pan trap,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
555,7/23/2020,July,C26,July-C26,Control,,,Pan trap,M,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
556,7/23/2020,July,C25,July-C25,Control,,,Pan trap,F,Hylaeus,verticalis,Hylaeus verticalis,Colletidae
557,7/23/2020,July,C23,July-C23,Control,,,Pan trap,F,Anthophora,walshii,Anthophora walshii,Apidae
558,7/23/2020,July,C23,July-C23,Control,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
559,7/23/2020,July,C23,July-C23,Control,,,Pan trap,F,Halictus,confusus,Halictus confusus,Halictidae
560,7/23/2020,July,C23,July-C23,Control,,,Pan trap,M,Pseudopanurgus,sp. B,Pseudopanurgus sp. B,Andrenidae
561,7/23/2020,July,C23,July-C23,Control,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
562,7/23/2020,July,C23,July-C23,Control,,,Pan trap,M,Pseudopanurgus,sp. A,Pseudopanurgus sp. A,Andrenidae
563,7/23/2020,July,C23,July-C23,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
564,7/23/2020,July,C23,July-C23,Control,,,Pan trap,M,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
565,7/23/2020,July,C23,July-C23,Control,,,Pan trap,F,Hylaeus,rudbeckiae,Hylaeus rudbeckiae,Colletidae
566,7/23/2020,July,C23,July-C23,Control,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
567,7/23/2020,July,C23,July-C23,Control,,,Pan trap,F,Pseudopanurgus,spp.,Pseudopanurgus spp.,Andrenidae
568,7/23/2020,July,C23,July-C23,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
569,7/23/2020,July,C23,July-C23,Control,,,Pan trap,M,Pseudopanurgus,sp. A,Pseudopanurgus sp. A,Andrenidae
570,7/23/2020,July,C23,July-C23,Control,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
571,7/23/2020,July,C23,July-C23,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
572,7/23/2020,July,C23,July-C23,Control,,,Pan trap,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
573,7/23/2020,July,C23,July-C23,Control,,,Pan trap,F,Pseudopanurgus,spp.,Pseudopanurgus spp.,Andrenidae
574,7/23/2020,July,C29,July-C29,Control,,,Pan trap,F,Pseudopanurgus,spp.,Pseudopanurgus spp.,Andrenidae
575,7/23/2020,July,C29,July-C29,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
576,7/23/2020,July,C29,July-C29,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
577,7/23/2020,July,C29,July-C29,Control,,,Pan trap,F,Pseudopanurgus,spp.,Pseudopanurgus spp.,Andrenidae
578,7/23/2020,July,C29,July-C29,Control,,,Pan trap,F,Halictus,confusus,Halictus confusus,Halictidae
579,7/23/2020,July,C27,July-C27,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
580,7/23/2020,July,C27,July-C27,Control,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
581,7/22/2020,July,T8,July-T8,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
582,7/22/2020,July,T8,July-T8,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
583,7/22/2020,July,T8,July-T8,Thinned,,,Pan trap,F,Ashmeadiella,cactorum,Ashmeadiella cactorum,Megachilidae
584,7/22/2020,July,T10,July-T10,Thinned,,,Pan trap,F,Agapostemon,texanus angelicus,Agapostemon texanus angelicus,Halictidae
585,7/22/2020,July,T10,July-T10,Thinned,,,Pan trap,F,Osmia,juxta,Osmia juxta,Megachilidae
586,7/22/2020,July,T10,July-T10,Thinned,,,Pan trap,F,Hylaeus,modestus,Hylaeus modestus,Colletidae
587,7/22/2020,July,T10,July-T10,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
588,7/22/2020,July,T10,July-T10,Thinned,,,Pan trap,F,Pseudopanurgus,spp.,Pseudopanurgus spp.,Andrenidae
589,7/22/2020,July,T10,July-T10,Thinned,,,Pan trap,F,Hylaeus,modestus,Hylaeus modestus,Colletidae
590,7/22/2020,July,T10,July-T10,Thinned,,,Pan trap,F,Ashmeadiella,cactorum,Ashmeadiella cactorum,Megachilidae
591,7/22/2020,July,T10,July-T10,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
592,7/22/2020,July,T10,July-T10,Thinned,,,Pan trap,F,Ashmeadiella,cactorum,Ashmeadiella cactorum,Megachilidae
593,7/22/2020,July,T10,July-T10,Thinned,,,Pan trap,F,Hylaeus,annulatus,Hylaeus annulatus,Colletidae
594,7/22/2020,July,T10,July-T10,Thinned,,,Pan trap,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
595,7/22/2020,July,T11,July-T11,Thinned,,,Pan trap,F,Agapostemon,texanus angelicus,Agapostemon texanus angelicus,Halictidae
596,7/22/2020,July,T11,July-T11,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
597,7/22/2020,July,T11,July-T11,Thinned,,,Pan trap,M,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
598,7/22/2020,July,T11,July-T11,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
599,7/22/2020,July,T11,July-T11,Thinned,,,Pan trap,F,Ashmeadiella,cactorum,Ashmeadiella cactorum,Megachilidae
600,7/22/2020,July,T11,July-T11,Thinned,,,Pan trap,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
601,7/22/2020,July,T11,July-T11,Thinned,,,Pan trap,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
602,7/22/2020,July,T11,July-T11,Thinned,,,Pan trap,M,Stelis,permaculata ,Stelis permaculata ,Megachilidae
603,7/22/2020,July,T11,July-T11,Thinned,,,Pan trap,F,Stelis,permaculata ,Stelis permaculata ,Megachilidae
